"Affiliation","% of U.S. population"
"Christianity","70.6","70.6"
"Protestant","46.5","46.5"
"Evangelical Protestant","25.4","25.4"
"Mainline Protestant","14.7","14.7"
"Black church","6.5","6.5"
"Catholic","20.8","20.8"
"Mormon","1.6","1.6"
"Jehovah's Witnesses","0.8","0.8"
"Eastern Orthodox","0.5","0.5"
"Other Christian","0.4","0.4"
"Judaism","1.9","1.9"
"Hinduism","1.2","1.2"
"Islam","0.9","0.9"
"Buddhism","0.9","0.9"
"Other faiths","1.8","1.8"
"Irreligion","22.8","22.8"
"Nothing in particular","15.8","15.8"
"Agnostic","4.0","4"
"Atheist","3.1","3.1"
"Don't know or refused answer","0.6","0.6"
